algorithm,fraction_budget,mean_meta_score,se_meta_score,mean_rank,se_rank
optuna,0,-11.4377385698776,2.55223080698732,2.28571428571429,0.194104634424788
optuna,0.01,-10.4544928907204,2.5627543830735,2,0.234403615469248
optuna,0.02,-5.0366727616637,1.25425481931064,2.42857142857143,0.202030508910442
optuna,0.03,-3.59876365479377,0.968266056747434,2.14285714285714,0.231030725732183
optuna,0.04,-2.51390745016266,0.467812007131,2.42857142857143,0.202030508910442
optuna,0.05,-1.96397110381159,0.36240322536971,1.92857142857143,0.221490597480729
optuna,0.06,-1.65277556704851,0.356862861398574,1.92857142857143,0.195112976973239
optuna,0.07,-1.38228634537651,0.355226050250128,2,0.209656967344384
optuna,0.08,-1.1348147775933,0.290914844687056,2.07142857142857,0.221490597480729
optuna,0.09,-0.874273339345943,0.206763433504133,1.64285714285714,0.132894358488438
optuna,0.1,-0.733707633888775,0.158171653059417,1.71428571428571,0.125294002758147
optuna,0.11,-0.576894350913584,0.140536498323123,1.5,0.138675049056307
optuna,0.12,-0.487761428761271,0.130277956581651,1.5,0.138675049056307
optuna,0.13,-0.413504777656853,0.106543459652867,1.57142857142857,0.137252703261503
optuna,0.14,-0.325775405981199,0.0846269684902035,1.57142857142857,0.137252703261503
optuna,0.15,-0.287788588661817,0.0825548176201176,1.71428571428571,0.125294002758147
optuna,0.16,-0.228436838140574,0.0644369205681694,1.71428571428571,0.125294002758147
optuna,0.17,-0.195435564486952,0.0613111692691476,1.71428571428571,0.125294002758147
optuna,0.18,-0.166910156093657,0.0586775271805483,1.78571428571429,0.113803929545099
optuna,0.19,-0.104875352125303,0.039490340264679,1.78571428571429,0.113803929545099
optuna,0.2,-0.0737652720723125,0.0358753763321038,1.78571428571429,0.113803929545099
optuna,0.21,-0.0490245826021132,0.0346826304284958,1.78571428571429,0.113803929545099
optuna,0.22,-0.0115406398411401,0.0273187554198007,1.78571428571429,0.113803929545099
optuna,0.23,0.00420243521134604,0.0274722308896941,1.78571428571429,0.113803929545099
optuna,0.24,0.0229152592895642,0.0271426304491367,1.78571428571429,0.113803929545099
optuna,0.25,0.0424894909971517,0.0271250292618749,1.78571428571429,0.113803929545099
optuna,0.26,0.0607947454359138,0.0270412090604742,1.78571428571429,0.113803929545099
optuna,0.27,0.0785903731566148,0.0253387771449181,1.78571428571429,0.113803929545099
optuna,0.28,0.101340651014014,0.0249852261110217,1.78571428571429,0.113803929545099
optuna,0.29,0.118181450719275,0.0263790313537583,1.78571428571429,0.113803929545099
optuna,0.3,0.130849641766955,0.0264602101168931,1.78571428571429,0.113803929545099
optuna,0.31,0.146579105133607,0.0257807099228263,1.85714285714286,0.0970523172123939
optuna,0.32,0.161528127021566,0.0267972036683182,1.85714285714286,0.0970523172123939
optuna,0.33,0.174431653076675,0.0267162635673686,1.85714285714286,0.142857142857143
optuna,0.34,0.194229231180221,0.0287265304152674,1.92857142857143,0.164560210240351
optuna,0.35,0.205447461255781,0.0290751774629163,2,0.14824986333222
optuna,0.36,0.21861656585181,0.0288709119625146,2,0.181568259800641
optuna,0.37,0.229901521256118,0.0300640906809737,2.07142857142857,0.195112976973239
optuna,0.38,0.242018288581982,0.0309800727024426,1.92857142857143,0.164560210240351
optuna,0.39,0.250053090533462,0.0316151837334141,2.07142857142857,0.195112976973239
optuna,0.4,0.268407392093824,0.0336250196559564,2.14285714285714,0.205879054892255
optuna,0.41,0.280597890560328,0.034431934393409,2.21428571428571,0.214285714285714
optuna,0.42,0.290325654495011,0.0352807003352205,2.21428571428571,0.214285714285714
optuna,0.43,0.301699339583989,0.0360481723901111,2.14285714285714,0.205879054892255
optuna,0.44,0.309777562032337,0.0367267358753274,2.14285714285714,0.205879054892255
optuna,0.45,0.315983430715808,0.037380108952559,2.21428571428571,0.214285714285714
optuna,0.46,0.32690930267829,0.0391935649678656,2.21428571428571,0.214285714285714
optuna,0.47,0.33478077595673,0.0396484048881481,2.21428571428571,0.214285714285714
optuna,0.48,0.342302262358586,0.0405445770826652,2.21428571428571,0.214285714285714
optuna,0.49,0.349109154809263,0.0415077910210099,2.21428571428571,0.214285714285714
optuna,0.5,0.357368034283383,0.0428092966741912,2.21428571428571,0.214285714285714
optuna,0.51,0.363907984787927,0.0434773038274871,2.21428571428571,0.214285714285714
optuna,0.52,0.374136079530882,0.0454129135707237,2.21428571428571,0.214285714285714
optuna,0.53,0.382630165905617,0.0462504168142627,2.21428571428571,0.214285714285714
optuna,0.54,0.388083160898002,0.0466306846205073,2.21428571428571,0.214285714285714
optuna,0.55,0.397163882514187,0.0477040768146187,2.21428571428571,0.214285714285714
optuna,0.56,0.404799134908285,0.0486323927877443,2.21428571428571,0.214285714285714
optuna,0.57,0.407603024729387,0.048477712256833,2.21428571428571,0.214285714285714
optuna,0.58,0.413410385974049,0.0486766645347146,2.28571428571429,0.220602856042689
optuna,0.59,0.418506496463495,0.0492774949220305,2.28571428571429,0.220602856042689
optuna,0.6,0.425791836590791,0.0501957577358223,2.28571428571429,0.220602856042689
optuna,0.61,0.43271980395227,0.0505930291760239,2.28571428571429,0.220602856042689
optuna,0.62,0.439227004117924,0.0513133788892641,2.28571428571429,0.220602856042689
optuna,0.63,0.441406173283439,0.0513220926214196,2.28571428571429,0.220602856042689
optuna,0.64,0.448569456729913,0.0518796601076649,2.28571428571429,0.220602856042689
optuna,0.65,0.450867744728566,0.0519846110315785,2.28571428571429,0.220602856042689
optuna,0.66,0.455847741238875,0.0523199324977398,2.28571428571429,0.220602856042689
optuna,0.67,0.460067744853021,0.0527143761203548,2.35714285714286,0.225006540982893
optuna,0.68,0.462638736761429,0.0530349397065287,2.35714285714286,0.199095284966961
optuna,0.69,0.466457322097266,0.053227295903521,2.35714285714286,0.199095284966961
optuna,0.7,0.471611678465826,0.05409475701433,2.35714285714286,0.199095284966961
optuna,0.71,0.475655233843157,0.0546886244778274,2.35714285714286,0.199095284966961
optuna,0.72,0.478670132097551,0.0549908886247922,2.42857142857143,0.202030508910442
optuna,0.73,0.483802353357931,0.0554165717599462,2.42857142857143,0.202030508910442
optuna,0.74,0.487984788173686,0.056055432711275,2.42857142857143,0.202030508910442
optuna,0.75,0.490247114433896,0.0563602970565141,2.42857142857143,0.202030508910442
optuna,0.76,0.496048041660184,0.0573441244610983,2.42857142857143,0.202030508910442
optuna,0.77,0.497893805845664,0.0574639202963952,2.42857142857143,0.202030508910442
optuna,0.78,0.503292883490233,0.0583103801560344,2.42857142857143,0.202030508910442
optuna,0.79,0.505753099437794,0.0582903815952861,2.42857142857143,0.202030508910442
optuna,0.8,0.509942001585547,0.0590175779225959,2.42857142857143,0.202030508910442
optuna,0.81,0.512411180326553,0.0591592549243588,2.42857142857143,0.202030508910442
optuna,0.82,0.516958022419055,0.0599078350932316,2.42857142857143,0.202030508910442
optuna,0.83,0.519344449451151,0.0602451489747965,2.42857142857143,0.202030508910442
optuna,0.84,0.523018585616766,0.0606744591505537,2.42857142857143,0.202030508910442
optuna,0.85,0.525538470071344,0.0607429130072246,2.42857142857143,0.202030508910442
optuna,0.86,0.528229715197385,0.0608372145208694,2.42857142857143,0.202030508910442
optuna,0.87,0.530375907544044,0.0610502028728216,2.42857142857143,0.202030508910442
optuna,0.88,0.534046438020908,0.0614932275432277,2.42857142857143,0.202030508910442
optuna,0.89,0.537975036854799,0.0621636366392153,2.5,0.202999485735288
optuna,0.9,0.539418032273329,0.0620811765451049,2.5,0.202999485735288
optuna,0.91,0.541945676398743,0.0623462099075608,2.42857142857143,0.202030508910442
optuna,0.92,0.54737095795019,0.0631274905881431,2.42857142857143,0.202030508910442
optuna,0.93,0.549614895151476,0.063278210639886,2.42857142857143,0.202030508910442
optuna,0.94,0.552225125788546,0.0637190661123017,2.5,0.202999485735288
optuna,0.95,0.554830254418168,0.0640115332714989,2.42857142857143,0.202030508910442
optuna,0.96,0.558381824366115,0.064550653157325,2.42857142857143,0.202030508910442
optuna,0.97,0.560970922602144,0.0650148755147959,2.42857142857143,0.202030508910442
optuna,0.98,0.562996922547968,0.0650232245760122,2.42857142857143,0.202030508910442
optuna,0.99,0.565543904667448,0.0653086231913573,2.5,0.202999485735288
optuna,1,0.568595593005384,0.0654063796046487,2.42857142857143,0.202030508910442
smac4hpo,0,-11.7661345233277,2.65076258799821,2.07142857142857,0.245045089241514
smac4hpo,0.01,-10.7902120382853,2.67555115284237,2.14285714285714,0.25370101935418
smac4hpo,0.02,-4.07605064296443,1.04715007089781,1.5,0.202999485735288
smac4hpo,0.03,-2.8523849903235,0.790440380162419,1.57142857142857,0.202030508910442
smac4hpo,0.04,-1.99868538719405,0.485125642060491,1.5,0.202999485735288
smac4hpo,0.05,-1.60099071608868,0.364785545365956,1.57142857142857,0.202030508910442
smac4hpo,0.06,-1.49160367183426,0.359898365624925,1.78571428571429,0.238552674132884
smac4hpo,0.07,-1.28721595883096,0.298917446264002,1.85714285714286,0.231030725732183
smac4hpo,0.08,-1.18411792011493,0.303225892419845,2.14285714285714,0.231030725732183
smac4hpo,0.09,-1.13406857158995,0.296049213757239,2.5,0.228468383365844
smac4hpo,0.1,-1.02691499436421,0.247547654774799,2.42857142857143,0.250588005516294
